company,model,Variant,price,engine,fuel,body,seats,transmission,total_details
Hyundai,Verna,1.4CrdiEx,999900,1396,Diesel,Sedan,5,Manual,HyundaiVerna1.4CrdiEx
Hyundai,Creta,1.4CrdiEPlus,999990,1396,Diesel,SUV,5,Manual,HyundaiCreta1.4CrdiEPlus
Hyundai,Creta,1.4CrdiEx,1107167,1396,Diesel,SUV,5,Manual,HyundaiCreta1.4CrdiEx
Hyundai,Creta,1.4CrdiS,1197919,1396,Diesel,SUV,5,Manual,HyundaiCreta1.4CrdiS
Hyundai,Venue,1.4CrdiMtE,780000,1397,Diesel,SUV,5,Manual,HyundaiVenue1.4CrdiMtE
Hyundai,Venue,1.4CrdiMtS,850000,1397,Diesel,SUV,5,Manual,HyundaiVenue1.4CrdiMtS
Hyundai,Venue,1.4CrdiMtSx,983000,1397,Diesel,SUV,5,Manual,HyundaiVenue1.4CrdiMtSx
Hyundai,Venue,1.4CrdiMtSxDualTone,998000,1397,Diesel,SUV,5,Manual,HyundaiVenue1.4CrdiMtSxDualTone
Hyundai,Venue,1.4CrdiMtSx(O),1089000,1397,Diesel,SUV,5,Manual,HyundaiVenue1.4CrdiMtSx(O)
Mahindra,VeritoVibe,D2,657628,1461,Diesel,Hatchback,5,Manual,MahindraVeritoVibeD2
Mahindra,VeritoVibe,D4,685729,1461,Diesel,Hatchback,5,Manual,MahindraVeritoVibeD4
Nissan,Micra,Xld(O),743504,1461,Diesel,Hatchback,5,Manual,NissanMicraXld(O)
Mahindra,Verito,1.5D2,748370,1461,Diesel,Sedan,5,Manual,MahindraVerito1.5D2
Mahindra,VeritoVibe,D6,750428,1461,Diesel,Hatchback,5,Manual,MahindraVeritoVibeD6
Mahindra,Verito,1.5D4Bs-Iv,772617,1461,Diesel,Sedan,5,Manual,MahindraVerito1.5D4Bs-Iv
Nissan,Micra,Xvd,812964,1461,Diesel,Hatchback,5,Manual,NissanMicraXvd
Mahindra,Verito,1.5D6Bs-Iv,845154,1461,Diesel,Sedan,5,Manual,MahindraVerito1.5D6Bs-Iv
Nissan,Sunny,XeDiesel,860997,1461,Diesel,Sedan,5,Manual,NissanSunnyXeDiesel
Renault,Lodgy,85PsStd,863299,1461,Diesel,MUV,8,Manual,RenaultLodgy85PsStd
Nissan,Sunny,SpecialEditionDiesel,877285,1461,Diesel,Sedan,5,Manual,NissanSunnySpecialEditionDiesel
Nissan,Sunny,XlDiesel,912534,1461,Diesel,Sedan,5,Manual,NissanSunnyXlDiesel
Renault,Duster,85PsRxeMtDiesel,929990,1461,Diesel,SUV,5,Manual,RenaultDuster85PsRxeMtDiesel
Renault,Lodgy,85PsRxe8Seater,964199,1461,Diesel,MUV,8,Manual,RenaultLodgy85PsRxe8Seater
Renault,Lodgy,85PsRxe7Seater,964199,1461,Diesel,MUV,7,Manual,RenaultLodgy85PsRxe7Seater
Nissan,Kicks,XeDiesel,989000,1461,Diesel,SUV,5,Manual,NissanKicksXeDiesel
Nissan,Sunny,XvDiesel,993997,1461,Diesel,Sedan,5,Manual,NissanSunnyXvDiesel
Nissan,Terrano,XeD85Ps,999900,1461,Diesel,SUV,5,Manual,NissanTerranoXeD85Ps
Renault,Duster,85PsRxsMtDiesel,999990,1461,Diesel,SUV,5,Manual,RenaultDuster85PsRxsMtDiesel
Renault,Captur,RxeDiesel,1049999,1461,Diesel,SUV,5,Manual,RenaultCapturRxeDiesel
Renault,Lodgy,StepwayRxl85Ps8-Seater,1053899,1461,Diesel,MUV,8,Manual,RenaultLodgyStepwayRxl85Ps8-Seater
Nissan,Kicks,XlDiesel,1109000,1461,Diesel,SUV,5,Manual,NissanKicksXlDiesel
Renault,Duster,110PsRxsMtDiesel,1119990,1461,Diesel,SUV,5,Automatic,RenaultDuster110PsRxsMtDiesel
Renault,Lodgy,StepwayRxz85Ps8-Seater,1130099,1461,Diesel,MUV,8,Manual,RenaultLodgyStepwayRxz85Ps8-Seater
Renault,Duster,110PsRxzMtDiesel,1209990,1461,Diesel,SUV,5,Automatic,RenaultDuster110PsRxzMtDiesel
Renault,Lodgy,StepwayRxz110Ps7-Seater,1211599,1461,Diesel,MUV,7,Manual,RenaultLodgyStepwayRxz110Ps7-Seater
