displacement,cylinders,weight,mpg
2755,4,1970,12.9
2755,4,1970,14.24
2755,4,1970,12.9
3198,5,2394,10.91
2198,4,2238,12.62
2198,4,2238,12.62
1496,3,1245,21.15
1998,4,1250,15.75
1968,4,1799,16.25
1995,4,1670,17.05
1984,5,1665,21.7
1995,4,1590,19.62
1995,4,1590,19.62
1998,4,1595,16.13
2400,5,1776,19.6
1968,4,1585,16.9
1968,4,1585,15.73
1984,6,1955,12.44
1984,6,1955,12.44
1999,4,1915,15.6
1999,4,1915,15.6
5461,8,1845,8.5
1969,5,1879,18.8
1995,4,1740,16.4
2993,6,1820,16.4
1998,6,1820,13.32
1998,4,1495,7.6
2998,6,1610,7.6
2967,6,2330,14.75
2967,6,2330,14.75
1984,6,2330,11.68
2967,6,2330,14.75
1998,4,2013,15.7
1969,4,2962,17.2
1969,4,2910,17.2
1969,4,2962,17.2
1969,4,2962,17.2
4367,8,2443,11.5
2993,6,1871,12.9
2993,6,1871,12.9
2993,6,1860,12.9
2995,6,2370,3.4
3996,6,2245,16.2
4461,8,2740,9
3993,8,1995,9.8
4999,8,2687,9.6
4999,8,2687,9.6
2995,6,2687,11.6
4999,8,2330,10
2995,6,2687,11.6
4691,8,1980,9.8
3982,8,1645,7.8
3982,8,1630,7.8
3982,8,1670,7.8
5204,10,1422,10.6
5204,10,1389,11.24
5204,10,1422,8
5204,10,1422,10.6
5204,10,1389,11.24
5204,10,1422,10.6
5204,10,1422,10.6
3902,8,1475,5.5
3902,8,1475,5.5
3900,8,1920,5.5
6262,8,1920,5.5
6498,12,1575,5
6498,12,1575,8.8
6498,12,1575,5
6598,12,2608,7.9
6749,12,2649,9.8
796,3,785,16.8
796,3,785,16.8
1172,4,1165,15
1248,4,1173,20
1194,4,1026,20.4
1498,4,1057,25.5
1196,4,1026,20.4
1498,4,1057,25.5
1194,4,1026,20.4
1498,4,1057,25.5
1248,4,970,27.39
1248,4,985,27.39
1248,4,960,27.39
1248,4,980,27.39
1197,4,890,21.4
1197,4,935,21.4
1197,4,870,21.4
1197,4,910,21.04
1197,4,865,21.4
1197,4,880,21.4
1197,4,870,21.4
1197,4,880,21.4
1197,4,920,21.04
1197,4,1003,18.9
1197,4,1003,19.77
1197,4,1003,17.49
1197,4,1003,19.77
1248,4,1210,19.5
1368,4,1180,14.9
1248,4,1210,19.5
1462,4,1135,19.34
1462,4,1175,19.34
1462,4,1170,18.69
1462,4,1170,19.34
1462,4,1175,19.34
1462,4,1180,18.69
1498,4,1225,24.2
1498,4,1225,24.2
1498,4,1225,24.2
1462,4,1175,19.34
998,3,950,21.4
1199,4,1104,17.5
1498,4,1176,25.5
1199,4,1087,17.5
1498,4,1176,25.5
1199,4,1087,17.5
1199,4,1104,17.5
1493,3,1590,18.49
1493,3,1590,18.49
1493,3,1590,18.49
1493,3,1590,18.49
1493,3,1590,18.49
1493,3,1590,18.49
1493,3,1590,18.49
1248,4,1215,23.65
1248,4,1224,23.65
1248,4,1233,23.65
1248,4,1240,23.65
2489,4,1875,13.9
2489,4,1875,13.9
2179,4,1875,14.02
2179,4,1875,14.02
2179,4,1875,14.02
1461,4,1236,20.45
1461,4,1360,19.01
1598,4,1360,13.24
1461,4,1360,20.45
1461,4,1360,19.01
1461,4,1236,20.45
2179,4,2000,14
2179,4,2000,14
2179,4,2095,14.1
2179,4,2095,14.1
1968,4,1535,17.42
1968,4,1550,17.42
1968,4,1535,17.42
1968,4,1550,17.42
1595,4,1395,15.5
2143,4,1515,15.5
1984,5,1607,16.8
1596,4,1587,16
1950,4,1655,12.06
1950,4,1655,12.06
1950,4,1655,16.05
3982,8,1730,1449
1497,4,1655,12.06
1497,4,1655,12.06
2487,4,1670,17.8
2494,6,1905,18.3
2494,6,1785,18.3
1999,4,1830,16.38
1997,4,1830,21.27
1969,4,2962,17.2
1968,4,1875,17.2
2979,6,1612,10.75
2981,6,1515,8.9
2981,6,1585,9.1
3799,6,1752,9
3982,8,1530,8
5935,12,1990,12.9
6496,12,1630,14.9
796,3,720,23.7
796,3,720,24.7
1197,4,935,20.7
1197,4,935,20.7
1197,4,935,20.7
1197,4,935,20.7
1197,4,935,20.7
